Processo;Contramarca;Navio;IMO;ATA;ETD;Bandeira;Tipo Navio;Agente Navegacao;Porto Seguinte;Porto Procedente;Motivo Escala;Local Atribuido;Morada Agente;Telefone Agente;Email Agente;Indicativo Chamada;GT;TAL;Comprimento;Calado Maximo;Porto Registo;Armador;Nome Anterior;Tipo;TAB;DWT;Boca Sinal;Velocidade Maxima;Tipo Trafego;Certificado Verde;Data Construcao;Capacidade Teus
PTLIS123000216;""04012023000213"";VALA REAL;2224207;2023-02-02 22:12;2024-02-01 23:59;Portugal;Qualquer estrutura flutuante;Pinto Basto IV - Serviços Marítimos, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Leixões;Trem de Reboque - Rebocador Nacional;CAIS DO POÇO DO BISPO / TMPB;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;LX-422-AL;519;0;43.1;1.2;PTLIS;SUBMARIT, SUBEMPREITADAS E TRABALHOS MARITIMOS LDA;;78;155;1000;15.7;0;5;CA;Wed Jun 09 00:00:00 GMT 2010;0
PTLIS122000907;""04012022000901"";SACYR UNO;2224214;2022-06-15 08:43;2024-12-31 20:00;Espanha;Qualquer estrutura flutuante;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Setúbal;Reparação em Estaleiro;CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;0;2169;0;56;0.7;ESVGO;SACYR S.A.;;78;651;2600;36;0;3;CA;Fri Jul 29 00:00:00 GMT 2005;0
PTLIS123002183;""04012023002176"";ATLANTIS;9139139;2023-11-28 11:15;2024-01-04 10:00;Bélgica;Navio de despejo de rocha;L. Branco – Navegação e Trânsitos, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Marsaxlokk;Reparação em Estaleiro;ESTALEIRO NAVAL DA ROCHA;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;ORKN;1998;0;81;2.2;BEKOU;Herbosch-Kiere N.V.;;725;0;2520;22;0;3;CA;Tue Jul 01 00:00:00 GMT 1997;0
PTLIS123002034;""04012023002032"";MIRADOR EXPRESS;9243174;2023-12-08 16:58;2023-12-10 02:00;Libéria;Porta-Contentores;Hapag-Lloyd Portugal, Lda.;New York;Tanger Med;Descarga / Carga;TERM CONTENT ALCANTARA /  LISCONT;Av. D. João II, Nº 44C, Piso 3, Gabinete B – EdifIcio Atlantis Parque das Nações;""0049403001-0"";info.de@hlag.com;5LBM5;40146;0;243.35;10.8;;GG HOLDING VII LLC;;511;0;40478;32.2;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;330300522000700;Tue Nov 27 00:00:00 GMT 2001;0
PTLIS122000993;""04012022000987"";CAPITÃO CAPELA;2224506;2022-06-16 10:24;2024-12-31 10:00;Portugal;Navio rebocador de outros navios;L. Branco – Navegação e Trânsitos, Lda.;Setúbal;Figueira da Foz;Reparação em Estaleiro;ESTALEIRO DA SOCARMAR/SEIXAL;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;CSIZ;33;0;17.49;2;;ATLANTIC TUGS;;73;0;30;4.12;0;cceead75-f08e-42b9-b143-d64201492361;;Sun Jan 01 00:00:00 GMT 1950;0
PTLIS123001905;""04012023001901"";REGULUS;9540780;2023-10-19 12:24;2024-01-30 17:00;Libéria;Navio de assistência;L. Branco – Navegação e Trânsitos, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Lome;Reparação em Estaleiro;ESTALEIRO NAVAL DA ROCHA;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;5LOA2;2446;0;67.4;4.2;;REGULUS OFFSHORE LTD;;601;0;2486;16;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;11199927-6078147-363;Sun Jul 31 01:00:00 GMT 2011;0
PTLIS123002325;""04012023002317"";TUNDRA;9415208;2023-12-18 04:40;2023-12-21 20:00;Chipre;Graneleiro;Ocidenave Navegação, Lda;Aveiro;Montreal;Descarga;TERM GRANEIS SILOPOR/BEATO;Estrada Manuel Correia Lopes nº 682;""00351213461291"";ops.lis@ocidenave.com;5BVN2;19814;0;185;8;;NAVARONE S.A;;52;0;30892;23.75;0;9516d8e7-6b21-440e-8729-69fea0a8be02;SN;Fri Nov 28 00:00:00 GMT 2008;0
PTLIS121001799;""04012021001253"";ALMADENSE;2224497;2021-09-29 00:28;2024-12-31 23:01;Portugal;Passageiros não discriminado;Pinto Basto IV - Serviços Marítimos, Lda.;Portos Desconhecidos / Alto Mar (Ao Largo);Setúbal;Serviço da Autoridade Portuária ou Licenciados;ÁREA JURISDIÇÃO APL;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;CSGA7;1479;443;47.5;4;;TRANSTEJO - TRANSPORTE TEJO, SA;;359;1479;555;16;0;4e733b24-181a-4bd3-a1e7-f92d915d0261;;Sun Sep 19 01:00:00 GMT 2021;0
PTLIS121001971;""04012021001423"";ET TAWFIQ;8600844;2021-10-25 09:49;2024-10-25 17:00;Marrocos;Navio de Guerra;Orey Comércio e Navegação, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Portos Desconhecidos / Alto Mar (Ao Largo);Reparação em Estaleiro;BASE NAVAL DE LISBOA/ALFEITE;Rua Castilho , 14 – 4º;""210958272"";lisboa@orey-shipping.com;N/A;499;0;54.77;2.5;;Morocco Govt Royal Navy;;981;0;390;10.32;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;;Mon Oct 25 07:34:07 GMT 2021;0
PTLIS123001195;""04012023001194"";MADEIRA;2224536;2023-07-07 12:34;2024-12-31 20:00;Portugal;Navio rebocador de outros navios;ICC - Agência de Navegação e Transportes Terrestres, S.A.;Portos Desconhecidos / Alto Mar (Ao Largo);Praia Da Vitoria;Reparação em Estaleiro;CARREIRAS DE REPARAÇÃO NAVAL - SOMAGUE;Av. do Atlântico, nr.16,  3ºpiso, sala 3.03;""00351218686714"";Operations-lisb@icc-navegacao.pt;CSLO;91;14.68;20.4;1.7;;SACYR SOMAGUE SA;;73;91.96;91;6.96;0;cceead75-f08e-42b9-b143-d64201492361;;Mon Jan 01 00:00:00 GMT 2018;0
PTLIS123002207;""04012023002200"";CONTSHIP ZEN;9683491;2023-12-18 18:37;2023-12-20 00:00;Libéria;Porta-Contentores;CMA CGM Portugal - Agentes De Navegação, S.A.;Tanger Med;Leixões;Descarga / Carga;FUNDEADOURO QUADRO CENTRAL;Cais das Oficinas, Edificio 114, Rocha Conde d’Óbidos;""213256220"";lca.jsantos@cma-cgm.com;D5QZ5;11716;0;158.39;7;;SANTIAGO INVESTMENT CORPORATION;;511;0;13505;24;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;02/23;Wed Dec 12 00:00:00 GMT 2012;0
PTLIS123002170;""04012023002163"";PENANG BRIDGE;9470753;2023-12-18 19:24;2023-12-19 23:59;Panamá;Porta-Contentores;One Shipping, Unipessoal Lda;London Gateway Port;Leixões;Descarga / Carga;TERM CONTENT STª APOLONIA/SOTAGUS;Estrada Manuel Correia Lopes 682;""351 931121675"";bruno.oliveira@one-line.com;3FZD5;17211;7875;171.99;7.68;;FOWARD GLORIA NAVIGATION SA;;511;17211;21927;28;19.7;f665b95e-c7a5-4bb3-b064-c6deb2f28052;425;Thu Jan 01 00:00:00 GMT 2009;0
PTLIS123002274;""04012023002266"";MAI TAI;9709221;2023-12-13 19:00;2023-12-19 23:00;Libéria;Graneleiro;CINTIA NAVE-AFRETAMENTOS MARITIMOS,UNIPESSOAL, LDA;Portos Desconhecidos / Alto Mar (Ao Largo);Cadiz;Descarga;TERM GRANEIS SOVENA/PALENÇA;RUA ALTO DA BONITA NR 45 R/C  CHAO DE MENINOS;""218439002"";cintia.nave@mail.telepac.pt;5LFJ4;25546;0;179;9.02;;LOUIS DREYFUS COMMODITIES ESPANA SA;;52;0;38792;32;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;27 / 2023;Wed May 13 01:00:00 GMT 2015;0
PTLIS123002256;""04012023002249"";TRAMMO BAUMANN;9762883;2023-12-14 08:19;2023-12-22 17:00;Libéria;Graneleiro;Ocidenave Navegação, Lda;Portos Desconhecidos / Alto Mar (Ao Largo);Ventspils;Descarga;TERM GRANEIS SILOPOR/TRAFARIA;Estrada Manuel Correia Lopes nº 682;""00351213461291"";ops.lis@ocidenave.com;D5IZ4;25611;0;179.93;10;;GOLDENPORT SHIPMANAGEMENT LTD;;52;0;38635;32;0;f665b95e-c7a5-4bb3-b064-c6deb2f28052;927-18-NYC;Thu Jun 18 01:00:00 GMT 2015;0
